SalesOrderNumber;OrderDate;DueDate;ShipDate;Status;ShipMethod;CompanyName;City;StateProvince;CountryRegion;Name;Color;Size;Weight;OrderQty;UnitPrice;UnitPriceDiscount;SubTotal;TaxAmt;Freight;TotalDue
SO71774;2008-06-01T00:00:00;2008-06-13T00:00:00;2008-06-08T00:00:00;Shipped;CARGO TRANSPORT 5;Good Toys;Auburn;California;United States;ML Road Frame-W - Yellow, 48;Yellow;48;1061.40;1;356.898;0.0;880.3484;70.4279;22.0087;972.785
SO71774;2008-06-01T00:00:00;2008-06-13T00:00:00;2008-06-08T00:00:00;Shipped;CARGO TRANSPORT 5;Good Toys;Auburn;California;United States;ML Road Frame-W - Yellow, 38;Yellow;38;988.83;1;356.898;0.0;880.3484;70.4279;22.0087;972.785
SO71776;2008-06-01T00:00:00;2008-06-13T00:00:00;2008-06-08T00:00:00;Shipped;CARGO TRANSPORT 5;West Side Mart;Wokingham;England;United Kingdom;Rear Brakes;Silver;;317.00;1;63.9;0.0;78.81;6.3048;1.9703;87.0851
SO71780;2008-06-01T00:00:00;2008-06-13T00:00:00;2008-06-08T00:00:00;Shipped;CARGO TRANSPORT 5;Nearby Cycle Shop;West Sussex;England;United Kingdom;ML Mountain Frame-W - Silver, 42;Silver;42;1274.59;4;218.454;0.0;38418.6895;3073.4952;960.4672;42452.6519
SO71780;2008-06-01T00:00:00;2008-06-13T00:00:00;2008-06-08T00:00:00;Shipped;CARGO TRANSPORT 5;Nearby Cycle Shop;West Sussex;England;United Kingdom;Mountain-400-W Silver, 46;Silver;46;12437.44;2;461.694;0.0;38418.6895;3073.4952;960.4672;42452.6519
SO71780;2008-06-01T00:00:00;2008-06-13T00:00:00;2008-06-08T00:00:00;Shipped;CARGO TRANSPORT 5;Nearby Cycle Shop;West Sussex;England;United Kingdom;Mountain-500 Silver, 52;Silver;52;13008.96;6;112.998;0.4;38418.6895;3073.4952;960.4672;42452.6519
SO71780;2008-06-01T00:00:00;2008-06-13T00:00:00;2008-06-08T00:00:00;Shipped;CARGO TRANSPORT 5;Nearby Cycle Shop;West Sussex;England;United Kingdom;HL Mountain Frame - Silver, 38;Silver;38;1215.62;2;818.7;0.0;38418.6895;3073.4952;960.4672;42452.6519
SO71780;2008-06-01T00:00:00;2008-06-13T00:00:00;2008-06-08T00:00:00;Shipped;CARGO TRANSPORT 5;Nearby Cycle Shop;West Sussex;England;United Kingdom;Mountain-500 Black, 42;Black;42;12596.19;1;323.994;0.0;38418.6895;3073.4952;960.4672;42452.6519
SO71780;2008-06-01T00:00:00;2008-06-13T00:00:00;2008-06-08T00:00:00;Shipped;CARGO TRANSPORT 5;Nearby Cycle Shop;West Sussex;England;United Kingdom;LL Mountain Frame - Black, 48;Black;48;1360.77;1;149.874;0.0;38418.6895;3073.4952;960.4672;42452.6519
SO71780;2008-06-01T00:00:00;2008-06-13T00:00:00;2008-06-08T00:00:00;Shipped;CARGO TRANSPORT 5;Nearby Cycle Shop;West Sussex;England;United Kingdom;HL Mountain Frame - Black, 42;Black;42;1233.76;1;809.76;0.0;38418.6895;3073.4952;960.4672;42452.6519
