ProductID;Name;ProductNumber;Color;StandardCost;ListPrice;Size;Weight;ProductCategoryID;ProductModelID;SellStartDate;SellEndDate;DiscontinuedDate;ModifiedDate
680;HL Road Frame - Black, 58;FR-R92B-58;Black;1059.31;1431.5;58;1016.04;18;6;2002-06-01T00:00:00;;;2008-03-11T10:01:36
706;HL Road Frame - Red, 58;FR-R92R-58;Red;1059.31;1431.5;58;1016.04;18;6;2002-06-01T00:00:00;;;2008-03-11T10:01:36
707;Sport-100 Helmet, Red;HL-U509-R;Red;13.0863;34.99;;;35;33;2005-07-01T00:00:00;;;2008-03-11T10:01:36
708;Sport-100 Helmet, Black;HL-U509;Black;13.0863;34.99;;;35;33;2005-07-01T00:00:00;;;2008-03-11T10:01:36
709;Mountain Bike Socks, M;SO-B909-M;White;3.3963;9.5;M;;27;18;2005-07-01T00:00:00;2006-06-30T00:00:00;;2008-03-11T10:01:36
710;Mountain Bike Socks, L;SO-B909-L;White;3.3963;9.5;L;;27;18;2005-07-01T00:00:00;2006-06-30T00:00:00;;2008-03-11T10:01:36
711;Sport-100 Helmet, Blue;HL-U509-B;Blue;13.0863;34.99;;;35;33;2005-07-01T00:00:00;;;2008-03-11T10:01:36
712;AWC Logo Cap;CA-1098;Multi;6.9223;8.99;;;23;2;2005-07-01T00:00:00;;;2008-03-11T10:01:36
713;Long-Sleeve Logo Jersey, S;LJ-0192-S;Multi;38.4923;49.99;S;;25;11;2005-07-01T00:00:00;;;2008-03-11T10:01:36
714;Long-Sleeve Logo Jersey, M;LJ-0192-M;Multi;38.4923;49.99;M;;25;11;2005-07-01T00:00:00;;;2008-03-11T10:01:36
715;Long-Sleeve Logo Jersey, L;LJ-0192-L;Multi;38.4923;49.99;L;;25;11;2005-07-01T00:00:00;;;2008-03-11T10:01:36
716;Long-Sleeve Logo Jersey, XL;LJ-0192-X;Multi;38.4923;49.99;XL;;25;11;2005-07-01T00:00:00;;;2008-03-11T10:01:36
717;HL Road Frame - Red, 62;FR-R92R-62;Red;868.6342;1431.5;62;1043.26;18;6;2005-07-01T00:00:00;;;2008-03-11T10:01:36
718;HL Road Frame - Red, 44;FR-R92R-44;Red;868.6342;1431.5;44;961.61;18;6;2005-07-01T00:00:00;;;2008-03-11T10:01:36
719;HL Road Frame - Red, 48;FR-R92R-48;Red;868.6342;1431.5;48;979.75;18;6;2005-07-01T00:00:00;;;2008-03-11T10:01:36
720;HL Road Frame - Red, 52;FR-R92R-52;Red;868.6342;1431.5;52;997.90;18;6;2005-07-01T00:00:00;;;2008-03-11T10:01:36
721;HL Road Frame - Red, 56;FR-R92R-56;Red;868.6342;1431.5;56;1016.04;18;6;2005-07-01T00:00:00;;;2008-03-11T10:01:36
722;LL Road Frame - Black, 58;FR-R38B-58;Black;204.6251;337.22;58;1115.83;18;9;2005-07-01T00:00:00;;;2008-03-11T10:01:36
723;LL Road Frame - Black, 60;FR-R38B-60;Black;204.6251;337.22;60;1124.90;18;9;2005-07-01T00:00:00;;;2008-03-11T10:01:36
724;LL Road Frame - Black, 62;FR-R38B-62;Black;204.6251;337.22;62;1133.98;18;9;2005-07-01T00:00:00;;;2008-03-11T10:01:36
725;LL Road Frame - Red, 44;FR-R38R-44;Red;187.1571;337.22;44;1052.33;18;9;2005-07-01T00:00:00;2007-06-30T00:00:00;;2008-03-11T10:01:36
726;LL Road Frame - Red, 48;FR-R38R-48;Red;187.1571;337.22;48;1070.47;18;9;2005-07-01T00:00:00;2007-06-30T00:00:00;;2008-03-11T10:01:36
727;LL Road Frame - Red, 52;FR-R38R-52;Red;187.1571;337.22;52;1088.62;18;9;2005-07-01T00:00:00;2007-06-30T00:00:00;;2008-03-11T10:01:36
728;LL Road Frame - Red, 58;FR-R38R-58;Red;187.1571;337.22;58;1115.83;18;9;2005-07-01T00:00:00;2007-06-30T00:00:00;;2008-03-11T10:01:36
729;LL Road Frame - Red, 60;FR-R38R-60;Red;187.1571;337.22;60;1124.90;18;9;2005-07-01T00:00:00;2007-06-30T00:00:00;;2008-03-11T10:01:36
730;LL Road Frame - Red, 62;FR-R38R-62;Red;187.1571;337.22;62;1133.98;18;9;2005-07-01T00:00:00;2007-06-30T00:00:00;;2008-03-11T10:01:36
731;ML Road Frame - Red, 44;FR-R72R-44;Red;352.1394;594.83;44;1006.97;18;16;2005-07-01T00:00:00;2006-06-30T00:00:00;;2008-03-11T10:01:36
732;ML Road Frame - Red, 48;FR-R72R-48;Red;352.1394;594.83;48;1025.11;18;16;2005-07-01T00:00:00;2006-06-30T00:00:00;;2008-03-11T10:01:36
733;ML Road Frame - Red, 52;FR-R72R-52;Red;352.1394;594.83;52;1043.26;18;16;2005-07-01T00:00:00;2006-06-30T00:00:00;;2008-03-11T10:01:36
734;ML Road Frame - Red, 58;FR-R72R-58;Red;352.1394;594.83;58;1070.47;18;16;2005-07-01T00:00:00;2006-06-30T00:00:00;;2008-03-11T10:01:36
735;ML Road Frame - Red, 60;FR-R72R-60;Red;352.1394;594.83;60;1079.54;18;16;2005-07-01T00:00:00;2006-06-30T00:00:00;;2008-03-11T10:01:36
736;LL Road Frame - Black, 44;FR-R38B-44;Black;204.6251;337.22;44;1052.33;18;9;2005-07-01T00:00:00;;;2008-03-11T10:01:36
737;LL Road Frame - Black, 48;FR-R38B-48;Black;204.6251;337.22;48;1070.47;18;9;2005-07-01T00:00:00;;;2008-03-11T10:01:36
738;LL Road Frame - Black, 52;FR-R38B-52;Black;204.6251;337.22;52;1088.62;18;9;2005-07-01T00:00:00;;;2008-03-11T10:01:36
739;HL Mountain Frame - Silver, 42;FR-M94S-42;Silver;747.2002;1364.5;42;1233.76;16;5;2005-07-01T00:00:00;;;2008-03-11T10:01:36
740;HL Mountain Frame - Silver, 44;FR-M94S-44;Silver;706.811;1364.5;44;1251.91;16;5;2005-07-01T00:00:00;2006-06-30T00:00:00;;2008-03-11T10:01:36
741;HL Mountain Frame - Silver, 48;FR-M94S-52;Silver;706.811;1364.5;48;1270.05;16;5;2005-07-01T00:00:00;2006-06-30T00:00:00;;2008-03-11T10:01:36
742;HL Mountain Frame - Silver, 46;FR-M94S-46;Silver;747.2002;1364.5;46;1288.20;16;5;2005-07-01T00:00:00;;;2008-03-11T10:01:36
743;HL Mountain Frame - Black, 42;FR-M94B-42;Black;739.041;1349.6;42;1233.76;16;5;2005-07-01T00:00:00;;;2008-03-11T10:01:36
744;HL Mountain Frame - Black, 44;FR-M94B-44;Black;699.0928;1349.6;44;1251.91;16;5;2005-07-01T00:00:00;2006-06-30T00:00:00;;2008-03-11T10:01:36
